7366 50
BOS	0.008	0.009	-0.008	-0.007	0.003	0.006	0.002	0.000	-0.007	0.004	-0.009	0.002	-0.002	-0.002	-0.007	-0.004	0.005	0.006	0.006	0.003	0.003	-0.008	-0.008	0.010	0.008	0.006	-0.001	0.008	-0.001	0.001	-0.000	-0.006	0.003	-0.003	-0.008	0.010	0.009	-0.002	-0.000	0.001	-0.007	-0.008	0.009	0.000	-0.005	-0.006	-0.006	0.003	0.000	0.003
EOS	0.008	0.009	-0.008	-0.007	0.003	0.006	0.002	0.000	-0.007	0.004	-0.009	0.002	-0.002	-0.002	-0.007	-0.004	0.005	0.006	0.006	0.003	0.003	-0.008	-0.008	0.010	0.008	0.006	-0.001	0.008	-0.001	0.001	-0.000	-0.006	0.003	-0.003	-0.008	0.010	0.009	-0.002	-0.000	0.001	-0.007	-0.008	0.009	0.000	-0.005	-0.006	-0.006	0.003	0.000	0.003
the	-1.280	0.794	-1.086	0.834	0.782	0.381	1.164	-2.495	0.888	-0.384	-1.393	0.388	0.317	-0.477	-0.774	0.984	-1.020	-1.193	-0.845	-1.754	0.326	1.580	2.872	0.826	0.259	-2.258	-0.862	-0.003	-0.336	2.208	2.405	-0.489	-1.587	-0.424	-0.994	-0.352	1.135	0.566	-0.308	-0.305	-0.732	2.184	2.290	-0.461	0.326	0.820	-0.576	-0.213	0.312	-2.166
of	0.081	-1.167	-0.569	0.716	1.321	-0.887	1.444	-3.748	1.339	-1.574	-0.378	1.206	-0.183	0.067	-0.030	0.317	-0.846	-0.082	-0.986	-1.396	-0.110	1.906	2.943	0.893	1.238	-2.049	-1.212	1.785	-1.155	1.707	1.501	-0.702	-0.344	-0.313	-0.312	-0.133	1.313	2.114	-1.112	1.384	-0.623	1.933	1.961	-0.653	-0.517	0.092	0.148	-0.807	-0.220	-1.361
and	-0.144	0.257	-1.361	0.985	0.200	-0.128	-1.291	-0.942	0.175	-1.908	0.076	-0.369	-0.677	-0.231	0.102	1.105	-0.106	-0.069	-1.420	-1.814	-0.659	1.449	1.435	1.231	2.254	-0.276	-0.766	0.860	-0.981	0.696	0.071	-0.878	0.462	0.216	0.600	-0.527	1.096	0.291	-0.670	-0.254	-0.673	1.463	0.240	-0.712	0.114	-0.566	-0.328	-0.246	0.853	-1.175
one	2.708	-3.907	3.445	-1.934	2.310	-2.298	1.252	-1.890	-0.741	-1.472	1.788	0.468	1.732	-1.162	-3.036	2.206	3.125	-0.003	2.376	-0.628	1.639	-2.541	0.824	-0.836	1.541	-0.110	3.083	-0.952	-0.473	-0.636	1.100	1.366	-0.243	-0.782	-3.790	2.748	-1.259	-1.877	3.398	-1.672	0.243	1.098	0.253	-1.037	-2.481	0.381	-3.892	2.889	-0.074	1.584
in	-0.256	-1.041	-0.774	1.989	1.395	-0.442	-0.230	-1.210	0.107	-0.923	-0.874	0.217	1.560	-0.469	-1.391	1.338	-0.059	-0.372	-0.086	-0.978	-1.130	1.590	2.102	0.872	1.419	-1.684	-0.217	-0.616	-1.534	2.020	1.306	0.291	-0.351	-1.195	-0.290	-0.479	0.987	0.459	0.517	-0.454	-1.554	2.167	2.113	-0.616	-0.885	0.185	-1.326	-0.228	-0.422	-2.230
to	-1.979	4.610	-3.055	1.842	-1.538	2.668	-0.823	0.050	0.544	0.121	-0.670	-1.548	-0.206	-0.953	-0.777	1.527	-1.396	-1.354	-3.089	-3.596	-1.416	0.663	3.535	0.756	-2.242	0.474	-0.065	-0.833	1.454	-0.522	0.743	-0.576	-1.746	-0.700	1.098	-0.910	0.089	1.051	-2.904	-0.834	-0.817	1.679	0.813	1.670	0.726	-1.894	-0.793	-1.229	-0.200	-1.983
a	-1.024	1.329	-0.624	1.864	0.372	1.781	1.494	-0.315	-0.311	-0.278	-0.333	2.124	-0.596	-0.413	-2.256	0.515	-1.235	-0.941	-0.908	-1.905	-0.658	1.346	0.216	1.217	-1.567	-0.275	-1.215	0.144	-0.700	0.656	1.164	0.476	-2.521	1.396	-0.744	-0.808	2.308	0.274	-0.795	-0.217	-0.462	0.825	1.716	1.423	0.494	0.378	1.688	-0.609	0.047	-2.227
is	0.183	1.473	-1.405	1.524	-0.353	2.404	1.354	-2.044	-1.163	-0.104	-2.610	3.069	-0.950	0.177	-1.459	-1.657	-1.968	0.686	-1.356	-0.909	-2.344	1.195	-1.031	0.258	-2.727	-3.901	-1.691	-0.915	-0.011	4.228	0.081	2.858	-1.880	1.942	0.528	-1.630	3.176	-0.181	0.545	0.627	-0.861	0.915	1.367	0.977	0.919	-1.002	2.008	-3.404	-0.736	-1.082
