75 20
BOS	0.020	0.022	-0.019	-0.016	0.007	0.015	0.005	0.001	-0.018	0.011	-0.022	0.006	-0.004	-0.005	-0.017	-0.009	0.013	0.015	0.015	0.008
EOS	0.020	0.022	-0.019	-0.016	0.007	0.015	0.005	0.001	-0.018	0.011	-0.022	0.006	-0.004	-0.005	-0.017	-0.009	0.013	0.015	0.015	0.008
SPACE	-0.273	-0.367	0.050	0.032	0.117	0.504	0.508	0.626	0.002	0.339	0.759	-0.604	-0.230	0.344	0.535	0.026	0.487	-0.228	0.154	0.259
e	-0.064	-0.805	0.345	0.419	0.324	0.284	0.604	-0.122	-0.211	-0.231	0.111	-0.564	-0.528	-0.111	0.551	0.384	-0.224	-0.168	0.085	0.241
a	-0.625	-0.847	0.303	0.347	0.794	0.223	-0.153	-0.243	0.348	0.608	0.050	-0.320	-0.319	-0.401	0.554	0.461	0.001	0.037	0.442	-0.001
o	-0.043	-0.520	-0.151	0.211	0.136	0.597	0.105	0.086	0.057	0.244	0.224	-0.082	-0.737	-0.049	0.403	0.470	-0.053	-0.163	0.191	0.120
i	-0.225	-0.475	0.544	0.246	-0.009	0.073	0.509	0.300	-0.117	0.304	-0.068	-0.362	-0.624	0.229	0.573	0.068	0.135	-0.644	0.670	-0.215
n	-0.347	-0.332	0.087	-0.024	0.341	0.202	0.114	0.348	-0.434	0.277	0.071	-0.363	-0.404	0.021	0.678	0.305	0.164	-0.152	-0.176	0.065
t	-0.403	-0.374	-0.079	-0.056	0.092	0.264	0.528	0.465	-0.359	0.586	0.051	0.068	-0.325	-0.024	0.440	0.364	-0.220	-0.383	-0.672	-0.161
s	-0.384	-0.470	0.218	0.424	0.174	0.452	0.105	0.151	-0.116	0.297	-0.058	0.058	-0.637	-0.034	0.517	0.029	-0.135	-0.638	0.209	-0.270
r	-0.027	-0.161	0.572	0.274	0.667	0.291	0.231	0.237	-0.728	0.478	0.365	-0.223	-0.214	-0.010	0.434	0.090	0.181	-0.079	0.274	0.078
l	-0.384	-0.427	0.067	0.469	0.099	0.155	-0.012	0.201	-0.325	0.625	0.357	-0.209	-0.578	-0.118	0.574	0.255	0.128	-0.247	0.674	0.008
c	-0.570	-0.517	-0.154	0.431	0.006	-0.116	0.124	0.225	-0.068	0.357	0.298	0.099	-0.831	-0.069	0.456	0.290	0.155	-0.435	0.312	-0.364
d	-0.728	-0.481	0.135	0.539	0.471	0.267	0.225	-0.114	-0.360	0.314	0.282	-0.270	-0.296	-0.487	0.275	0.601	-0.227	-0.138	-0.191	-0.247
h	-0.072	-0.351	0.336	0.022	0.239	0.500	0.559	0.187	-0.258	0.222	-0.585	0.343	-0.712	-0.388	0.752	0.339	-0.774	-0.636	-0.755	-0.518
u	-0.331	-0.596	0.370	0.455	0.480	0.370	0.228	-0.008	-0.252	0.219	-0.108	-0.405	-0.295	-0.031	0.728	0.147	-0.165	-0.298	0.076	0.229
p	-0.283	-0.411	0.357	0.341	0.696	0.338	-0.043	-0.148	0.208	0.465	-0.288	-0.086	-0.497	-0.138	0.677	0.449	-0.095	-0.267	-0.144	-0.083
m	-0.597	-0.184	-0.272	0.087	0.320	0.228	0.141	0.445	-0.103	0.214	0.405	-0.032	-0.628	-0.131	0.364	0.115	0.223	-0.528	-0.040	-0.231
f	-0.072	-0.522	-0.006	0.266	-0.413	0.355	0.105	0.311	-0.590	0.324	0.383	0.191	-0.761	-0.196	0.441	0.143	-0.240	-0.278	0.023	-0.371
g	-0.892	-0.726	-0.151	0.031	0.422	0.076	-0.518	0.138	0.053	0.348	0.340	-0.469	-0.452	-0.175	0.482	0.309	0.145	-0.144	0.313	-0.028
y	-0.091	-0.281	0.136	0.204	0.871	0.451	0.035	-0.020	0.138	0.430	0.270	-0.300	-0.417	-0.354	0.515	0.469	-0.156	-0.255	-0.125	0.066
