75 40
BOS	0.010	0.011	-0.010	-0.008	0.003	0.008	0.002	0.001	-0.009	0.006	-0.011	0.003	-0.002	-0.002	-0.008	-0.005	0.006	0.008	0.007	0.004	0.004	-0.010	-0.010	0.012	0.010	0.008	-0.002	0.010	-0.001	0.002	-0.000	-0.007	0.003	-0.003	-0.010	0.012	0.011	-0.003	-0.001	0.001
EOS	0.010	0.011	-0.010	-0.008	0.003	0.008	0.002	0.001	-0.009	0.006	-0.011	0.003	-0.002	-0.002	-0.008	-0.005	0.006	0.008	0.007	0.004	0.004	-0.010	-0.010	0.012	0.010	0.008	-0.002	0.010	-0.001	0.002	-0.000	-0.007	0.003	-0.003	-0.010	0.012	0.011	-0.003	-0.001	0.001
SPACE	-0.238	-0.143	0.035	0.012	0.325	-0.255	0.586	0.139	0.660	-0.001	0.112	0.010	-0.117	-0.100	-0.057	-0.024	0.365	0.298	-0.062	-0.115	0.219	0.175	0.096	-0.408	-0.056	0.244	0.142	-0.170	0.707	-0.043	-0.098	0.195	-0.024	-0.006	-0.218	0.123	-0.067	-0.166	-0.405	-0.216
e	-0.358	-0.288	0.174	0.304	0.690	-0.109	0.353	0.266	0.223	0.168	0.038	-0.087	0.129	-0.118	-0.226	0.103	0.121	0.017	0.206	-0.236	-0.209	-0.202	0.249	-0.058	0.285	0.254	0.389	-0.145	0.085	-0.070	-0.368	0.521	-0.162	-0.024	0.133	-0.222	0.048	-0.198	-0.624	0.068
a	-0.456	-0.283	0.288	0.045	0.339	0.222	0.458	0.156	0.128	0.037	-0.240	-0.160	-0.147	0.046	-0.118	0.266	0.065	0.323	-0.036	-0.263	0.157	-0.326	0.279	0.230	0.213	0.458	0.220	-0.050	-0.148	-0.053	-0.078	0.512	-0.169	0.215	0.186	0.202	-0.214	-0.031	-0.603	-0.031
o	-0.278	-0.159	0.196	0.172	0.460	0.104	0.353	0.149	0.402	0.056	-0.095	-0.048	-0.072	-0.006	-0.224	0.156	0.131	0.088	0.073	-0.333	-0.074	-0.139	0.131	-0.093	0.260	0.431	0.242	-0.123	0.001	-0.184	-0.209	0.511	-0.300	0.137	0.105	-0.041	0.013	-0.014	-0.660	0.031
i	-0.532	-0.539	0.199	0.336	0.725	-0.252	0.162	0.557	0.059	0.118	0.157	-0.193	0.143	0.201	0.128	0.118	-0.029	0.298	0.105	-0.191	0.007	-0.080	0.155	-0.053	0.235	0.010	0.462	-0.096	0.279	0.122	-0.069	0.305	0.026	0.061	-0.200	0.112	-0.146	-0.055	-0.353	-0.109
n	-0.446	-0.122	0.200	-0.007	0.414	-0.105	0.540	0.071	0.211	-0.030	-0.021	0.065	0.068	-0.214	-0.522	0.135	0.473	0.400	-0.154	-0.313	0.187	-0.005	0.109	-0.040	0.021	0.403	0.264	0.069	0.408	0.044	-0.043	0.294	-0.034	-0.133	0.060	0.033	-0.098	0.112	-0.427	-0.220
t	-0.068	-0.100	0.025	0.119	-0.042	-0.057	0.199	-0.094	0.439	0.055	-0.007	0.039	-0.128	-0.109	-0.041	0.150	0.630	0.397	-0.126	-0.237	-0.074	-0.036	0.326	0.151	0.379	0.719	0.035	-0.150	0.293	0.045	-0.007	0.499	-0.292	-0.229	-0.034	0.208	-0.062	0.010	-0.361	-0.239
s	-0.069	-0.176	0.129	0.410	0.482	-0.326	-0.076	0.455	0.677	0.189	0.139	-0.058	-0.023	0.112	0.302	-0.055	0.354	0.238	-0.018	-0.320	-0.189	-0.026	0.149	0.143	0.502	0.222	0.340	-0.461	0.086	-0.170	-0.086	0.428	-0.298	-0.008	-0.185	-0.306	0.190	-0.186	-0.162	-0.064
r	-0.596	-0.342	0.079	0.270	0.562	-0.237	0.232	0.047	0.317	0.136	0.253	0.222	-0.029	-0.157	-0.078	0.162	0.343	0.477	0.073	-0.129	-0.263	0.278	0.218	-0.016	0.295	0.335	0.114	-0.114	0.451	-0.143	-0.199	0.378	0.199	-0.181	0.109	0.154	-0.019	0.151	-0.012	-0.020
l	-0.505	-0.342	0.169	0.122	0.495	-0.183	0.165	0.292	0.124	-0.008	0.095	-0.071	-0.068	0.172	0.144	0.099	0.173	0.415	0.005	-0.158	0.181	0.231	0.194	0.070	0.207	0.210	0.471	-0.128	0.252	0.269	-0.025	0.367	-0.023	0.122	-0.006	0.147	-0.276	0.098	-0.202	-0.322
c	-0.326	-0.110	-0.022	0.039	0.386	-0.148	0.421	0.323	0.052	-0.067	0.092	-0.033	-0.011	0.092	0.045	-0.027	0.396	0.253	0.083	-0.189	0.156	0.200	0.216	0.210	0.428	0.361	0.283	-0.156	0.135	0.264	0.035	0.342	-0.265	-0.049	-0.122	0.120	-0.124	0.028	-0.455	-0.449
d	-0.393	-0.301	0.226	0.080	0.139	-0.074	-0.005	0.018	0.110	-0.023	-0.230	0.137	-0.202	-0.171	-0.173	0.000	0.772	0.307	0.023	-0.335	-0.265	0.144	0.359	0.188	0.254	0.634	0.496	-0.131	0.072	0.132	-0.045	0.301	-0.165	-0.057	-0.063	-0.239	-0.030	0.160	-0.320	-0.387
h	-0.076	0.064	0.016	0.009	0.344	0.001	0.100	0.186	-0.058	-0.275	-0.008	0.144	-0.034	0.057	-0.285	0.208	0.048	0.206	0.130	-0.421	-0.061	0.018	0.114	0.022	0.711	0.574	0.160	-0.276	0.394	-0.182	-0.141	0.478	-0.242	0.018	-0.101	0.056	-0.003	0.518	-0.561	-0.276
u	-0.305	-0.177	-0.006	0.252	0.541	-0.148	0.316	0.255	0.216	-0.069	0.096	-0.069	-0.076	0.184	-0.065	0.231	0.017	0.249	0.095	-0.264	-0.069	-0.036	0.241	-0.020	0.407	0.275	0.217	-0.240	0.299	-0.093	-0.242	0.320	0.123	0.096	-0.100	0.095	0.060	-0.028	-0.260	0.003
