7356 20
BOS	0.020	0.022	-0.019	-0.016	0.007	0.015	0.005	0.001	-0.018	0.011	-0.022	0.006	-0.004	-0.005	-0.017	-0.009	0.013	0.015	0.015	0.008
EOS	0.020	0.022	-0.019	-0.016	0.007	0.015	0.005	0.001	-0.018	0.011	-0.022	0.006	-0.004	-0.005	-0.017	-0.009	0.013	0.015	0.015	0.008
the	-0.969	-3.028	-0.892	1.033	-2.463	-0.720	-0.194	4.866	0.136	0.528	-0.383	0.777	0.963	0.039	-0.312	-0.110	0.224	0.606	-0.717	0.868
of	-1.853	-3.703	0.127	2.636	-2.367	-2.196	-0.148	2.341	-0.069	0.053	-2.272	-0.147	1.443	-0.381	-1.409	-0.318	-0.284	1.021	-0.536	1.515
and	-1.501	-1.312	0.714	-0.111	-2.088	-1.604	-0.757	1.464	-0.865	0.387	-0.907	-0.154	0.656	1.102	-1.338	0.718	-1.107	1.033	-0.060	0.571
one	-3.189	-1.307	-5.783	2.603	5.557	1.178	5.353	-0.121	-1.327	0.805	-0.994	1.642	2.158	-1.511	-1.044	-0.353	-1.407	2.673	-3.200	-2.271
in	-2.612	-2.098	-1.276	0.850	-2.418	0.077	0.044	2.794	-0.488	-0.526	-1.080	1.130	0.920	-0.026	-0.966	-0.710	-1.407	1.919	-1.600	0.767
to	-0.111	-0.103	2.951	-3.007	-2.503	-1.742	-4.004	4.737	1.545	1.710	1.165	0.693	-1.782	1.104	0.189	0.081	1.396	1.044	-1.513	-0.063
a	0.138	-1.238	0.103	-0.555	-2.923	-0.422	-0.252	1.406	1.010	2.191	0.647	-0.366	0.769	1.364	0.411	-0.398	1.422	-1.297	-1.118	1.507
is	1.505	-3.076	1.469	0.726	-4.808	0.858	-3.041	-0.319	0.373	1.639	0.223	-0.705	2.064	-1.386	0.813	-1.255	2.401	-1.161	-0.703	2.538
as	0.390	-1.728	2.191	0.225	-3.866	-0.044	-1.103	1.238	0.561	0.599	0.866	-1.180	-0.135	1.213	0.471	-1.094	-1.469	0.184	-0.382	1.837
for	-2.444	-1.600	0.805	-1.285	-3.583	-2.336	-1.464	-0.124	1.027	1.679	-0.782	1.435	0.193	2.153	-0.134	-2.379	1.323	0.214	-2.247	0.132
that	1.121	-0.742	3.529	-0.665	-2.544	-1.733	-5.362	3.459	3.327	0.668	3.681	0.517	-0.564	-0.041	0.386	-1.496	0.956	0.021	-2.886	4.070
was	-1.728	0.166	-1.019	-0.817	0.022	1.175	2.302	5.774	1.492	0.672	2.757	1.009	-3.323	-0.039	-2.743	-2.267	-2.615	1.882	-2.075	1.800
by	-0.879	-1.155	0.050	0.804	0.340	-1.061	1.426	3.381	0.114	0.127	0.766	-1.151	-1.441	1.132	0.281	-1.554	-1.530	0.109	-0.672	1.624
with	-0.225	-1.367	0.305	-1.664	-2.976	-0.531	-0.612	1.926	-0.054	1.223	0.192	-0.225	0.599	1.640	-0.239	0.975	-0.742	0.311	-1.122	0.677
on	-2.618	-1.067	-2.903	-0.605	-2.261	-1.516	-0.645	2.532	1.115	-0.653	0.606	3.058	0.217	1.305	-1.075	-0.439	2.148	-1.140	-0.635	-0.052
it	1.767	-0.297	2.734	-2.579	-3.114	2.002	-4.083	3.357	1.343	0.511	4.027	-0.082	-0.786	-0.237	0.281	-1.868	2.955	0.101	-1.354	2.245
are	-1.347	-3.611	4.578	-3.307	-6.315	0.146	-4.221	-1.052	-0.629	-0.901	-2.522	-0.650	2.828	-0.524	4.152	0.017	1.210	0.253	-1.028	3.938
from	-1.640	-2.622	-0.335	-0.657	-1.653	-0.699	-0.784	2.382	-0.786	-0.487	0.770	1.253	1.003	-1.133	-1.073	0.539	0.323	1.857	0.667	0.427
or	0.754	-4.151	2.898	-2.475	-4.810	-2.297	-3.091	-1.069	1.439	2.340	-0.493	-1.818	1.063	-0.630	2.636	0.260	0.815	-1.953	-0.154	0.670
